"Title"	"Artist"	"Time"	"Date"	"Album"	"Composers"	"url"	"spotify_id"	"spotify_uri"
"Everlasting Arms"	"Vampire Weekend"	"10:34pm"	2016-06-20	"Modern Vampires Of The City"	" Rostam Batmanglij, Ezra Koenig"	"https://open.spotify.com/track/5WbmgRh4WP3dfmcrPUDY4O"	"5WbmgRh4WP3dfmcrPUDY4O"	"spotify:track:5WbmgRh4WP3dfmcrPUDY4O"
"A Windful Of Screams"	"Thus Owls"	"10:38pm"	2016-06-20	"Turning Rocks"	" Erika Angell"	"https://open.spotify.com/track/4sO6oBQecDWppd7iO5wyTh"	"4sO6oBQecDWppd7iO5wyTh"	"spotify:track:4sO6oBQecDWppd7iO5wyTh"
"Willow"	"Forestier"	"10:42pm"	2016-06-20	"Willow (Single)"	" Joel Williams, Esther Kenter, Asher Jesionka, Jonathan Jesionka"	NA	NA	NA
"Shack"	"Our Founders"	"10:48pm"	2016-06-20	"The Nines"	" Mike Olsen"	"https://open.spotify.com/track/48LVVthpQAkGbKztmS4Xdn"	"48LVVthpQAkGbKztmS4Xdn"	"spotify:track:48LVVthpQAkGbKztmS4Xdn"
"The Beekeeper"	"Dawn Golden"	"10:52pm"	2016-06-20	"Still Life"	" Dexter Tortoriello"	"https://open.spotify.com/track/35FajkrRBRPELoHz7Q5vb4"	"35FajkrRBRPELoHz7Q5vb4"	"spotify:track:35FajkrRBRPELoHz7Q5vb4"
"Montage"	"Merganzer"	"10:55pm"	2016-06-20	"Slow Volumes: One (01)"	"Merganzer"	NA	NA	NA
"Dust It Off"	"The Do"	"11:04pm"	2016-06-20	"The Do: Both Ways Open Jaws"	" Dan Levy, Olivia B Merilahti"	"https://open.spotify.com/track/7fhXMMEeyCNkSqbdUjCmKA"	"7fhXMMEeyCNkSqbdUjCmKA"	"spotify:track:7fhXMMEeyCNkSqbdUjCmKA"
"My Sad Captains"	"Elbow"	"11:08pm"	2016-06-20	"The Take Off And Landing Of Everything"	" Guy Garvey, Richard Jupp, Mark Potter, Pete Turner, Craig Potter"	"https://open.spotify.com/track/2BpqOF9lbG9pJlk8YoCwmg"	"2BpqOF9lbG9pJlk8YoCwmg"	"spotify:track:2BpqOF9lbG9pJlk8YoCwmg"
"Earth Sick"	"Oh Land"	"11:14pm"	2016-06-20	"Earth Sick (Single)"	"Oh Land"	"https://open.spotify.com/track/6tRD6UajKDJFrNuAVoEw46"	"6tRD6UajKDJFrNuAVoEw46"	"spotify:track:6tRD6UajKDJFrNuAVoEw46"
"Drops"	"Jungle"	"11:20pm"	2016-06-20	"Drops (Single)"	" Josh Watson Lloyd, Tom Mcfarland"	"https://open.spotify.com/track/6FvjAQqC2L0B3TTANybitI"	"6FvjAQqC2L0B3TTANybitI"	"spotify:track:6FvjAQqC2L0B3TTANybitI"
"The Wilhelm Scream"	"James Blake"	"11:23pm"	2016-06-20	"James Blake"	" James Blake"	"https://open.spotify.com/track/688DZF6e1MH5Uf409dwaHm"	"688DZF6e1MH5Uf409dwaHm"	"spotify:track:688DZF6e1MH5Uf409dwaHm"
